session_id,treatment,participant_gender,participant_age,participant_degree,participant_ethnicity,participant_politics,ml_fam,cj_fam,confidence,relative_confidence,self_reported_influence,self_reported_exp_usefulness,self_reported_ra_accuracy,self_reported_ra_fairness,self_reported_exp_ability,accountability,open_response_1,open_response_2,influence,participant_brier_score,false_positive_participant,ra_brier_score,false_positive_ra_black,false_positive_ra_white,false_positive_ra_diff,session_submit_time
3YZ8UPK3VTMYX5CSJEFZBRVNTBICUC,3,Male,1,5,Caucasian,Independent,2,3,4,4,3,4,4,3,5,2,,,0.866666667,0.797333333,3,0.823,1,2,-1,33:40.9
3TAYZSBPLL85KASMXGVTKD4DVK5S2H,0,Female,2,8,Caucasian,Democrat,2,3,3,3,0,0,0,0,0,0,"The two most important things for me were the nature of the crime (primarily violent vs. non-violent) and whether or not they had a criminal history. Nonviolent crimes and less criminal history means, for me, they would be less likely to recommit. The opposite also holds true.",,,0.773666667,3,0.780333333,,,,16:11.8
3TMFV4NEP8E9D6BKX2EVRTK1O3RW8E,5,Male,3,8,Caucasian,Republican,4,4,4,4,3,4,4,4,2,2,,,0.666666667,0.739333333,2,0.784666667,2,0,2,31:20.6
3ERET4BTVM9IWB0DDG163ELHKDK9KP,2,Female,3,8,Caucasian,Democrat,5,4,4,4,4,4,4,4,3,2,Prediction of the AI is very helpful and relatively similar to the my prediction.,"Based on their crime count , age factor and race.",0.633333333,0.868666667,2,0.893333333,1,0,1,27:26.6
3TYCR1GOTCJ8M8082E76V20PP3XLZE,4,Female,3,4,Caucasian,Independent,1,3,3,3,4,4,4,4,3,3,"Some of my choices I felt were obvious, the ones i was not sure about I took the algorithm. ",I went by what the crime to help me determine if they would do it again.,0.8,0.714666667,7,0.756,1,4,-3,47:11.6
3NC5L260MOMANCC5EUTRKRO175GFOC,0,Male,3,8,Caucasian,Democrat,3,3,4,5,0,0,0,0,0,0,,,,0.703333333,9,0.755,,,,52:57.7
3S06PH7KSR4ST0R8HM0QKV8837U1DL,3,Male,4,3,Latino/hispanic,Republican,3,2,3,1,4,4,2,2,5,3,,,0.8,0.517,8,0.816,2,0,2,27:21.4
3634BBTX0OU0RQ12GZGM0USFWQHFI6,3,Male,2,8,African-American,Republican,4,4,3,3,3,5,4,4,5,3,,,0.666666667,0.859333333,1,0.842666667,2,0,2,19:35.8
3OXV7EAXLEQPIUQ8U36V2IDDKHK36A,5,Male,2,8,Caucasian,Democrat,3,4,4,4,3,4,4,4,4,4,na,na,0.7,0.791333333,4,0.837,3,0,3,53:12.8
3CN4LGXD5XOCJAJI0066VEPCWJXY4X,0,Male,2,8,Latino/hispanic,Republican,4,5,5,3,0,0,0,0,0,0,,,,0.613333333,10,0.763333333,,,,04:00.4
3I33IC7ZWF21KE6SGG92ZDA79SK2A9,1,Female,3,8,Caucasian,Democrat,1,3,3,3,2,4,3,4,4,1,I didn't much - I mostly went with my own judgment based on the info provided. ,,0.733333333,0.654333333,4,0.734666667,2,1,1,02:52.7
3ZWFC4W1UU7DKP4L6MAVEMT6I8TFRA,2,Male,5,7,Caucasian,Democrat,5,4,5,5,4,4,5,5,5,3,,,0.766666667,0.747666667,4,0.744666667,1,2,-1,57:08.1
3Q5ZZ9ZEVOFF0NW011RM1T7O30P58V,0,Female,2,4,Caucasian,Democrat,3,3,5,4,0,0,0,0,0,0,Prior crimes,,,0.747666667,4,0.808,,,,58:06.2
35BLDD71I6XBIDC2GI9CIBYRF3KVZV,0,Female,3,9,Caucasian,Republican,4,3,3,2,0,0,0,0,0,0,I just predicted the answer based on the text,,,0.762666667,9,0.810666667,,,,44:17.3
3FPRZHYEPY7AXK59VBE3EATC1AZV3H,4,Female,2,8,Caucasian,Democrat,2,3,2,4,3,3,2,3,3,4,,,0.633333333,0.734,11,0.804333333,3,1,2,31:45.6
3300DTYQT2HL2APPYW1PREY1BZLQE4,3,Male,2,9,Caucasian,Independent,1,3,2,3,4,2,2,2,2,2,,,0.7,0.724666667,2,0.768333333,2,0,2,43:01.5
3ZSANO2JCF7PL44YLBA04WY25OJFSY,3,Female,5,8,African-American,Democrat,2,2,4,5,3,5,5,5,5,3,"In most cases, I made my decision first, then looked at the algorithm's risk score.  I was close almost all the time.","It was very useful.  I used it as a guide for risk assessments.  For example, a person 45 yeas of age with 4 crimes would receive a lower score than a person 23 with 4 crimes.  I think the algorithm takes into account the person's age, and that makes it unlikely that the older person would commit another crime or disappear before the trial.",0.7,0.790666667,4,0.821333333,1,4,-3,41:16.2
3GLB5JMZFXVPXFHBZ5LTRICE4M2GD4,2,Male,1,8,Caucasian,Republican,3,3,3,4,4,5,4,4,3,3,,,0.6,0.744333333,4,0.816,2,0,2,12:24.5
3V0Z7YWSIY0LC29QRB0YV0OKU2L2VA,1,Male,2,8,Latino/hispanic,Democrat,3,3,5,5,3,4,4,3,4,3,"Based on the info given, I tried to find a medium point.",,0.733333333,0.732333333,2,0.802333333,1,2,-1,06:27.3
33FBRBDW6OZ0Z85FGBEUFZDYWMN8CT,5,Female,1,8,Caucasian,Republican,2,2,3,3,3,3,4,3,2,2,,,0.666666667,0.626333333,10,0.776,3,1,2,39:46.2
33ISQZVXPPM2BBVSXNUZHL9HMEUCCR,5,Female,3,5,Caucasian,Democrat,2,3,3,3,3,4,3,3,3,3,I considered it and compared it to my own decisions.,,0.666666667,0.818,5,0.786333333,5,2,3,26:05.0
354GIDR5ZB6YNR5W9R8VRJ5F38X005,1,Female,5,9,Native American,Independent,5,5,5,5,4,4,4,4,3,4,Based on the crime done by the person before.,,0.733333333,0.745,4,0.768666667,2,1,1,51:56.5
38YMOXR4MUZM9SSW4NHX7FOAI7F6WE,5,Female,1,5,Caucasian,Democrat,1,2,2,2,1,2,2,2,3,3, honestly barely looked at them,,0.6,0.668333333,0,0.774333333,3,1,2,25:43.7
31LVTDXBL7AZKHEHSXDT9ZYQF6ILRS,2,Female,2,8,Caucasian,Democrat,1,3,3,3,2,4,3,3,3,3,I debated on whether I thought this was accurate then i made my own choice. ,I considered the explanation in my decision making,0.766666667,0.792,2,0.806333333,1,2,-1,48:30.9
3MTMREQS4VINWU4ZU0Y9NKQWDR2AW6,0,Male,2,4,African-American,Independent,5,4,5,3,0,0,0,0,0,0,,,,0.598,1,0.787666667,,,,44:14.1
37WLF8U1WPQVESYFF9YUJ4UFUW86KB,0,Male,2,9,African-American,Democrat,5,4,5,4,0,0,0,0,0,0,nothing,,,0.623333333,13,0.779333333,,,,46:47.2
3RYC5T2D73TPB2TFKP60QG7ALXPPRZ,5,Male,4,8,Other/unknown,Democrat,3,5,4,3,5,3,2,3,2,3,,,0.666666667,0.651333333,10,0.753666667,4,0,4,15:26.2
3KYQYYSHYV7DPSY9NOY1WRLGVMRDOE,0,Female,6,4,Caucasian,Democrat,2,3,4,4,0,0,0,0,0,0,,,,0.745,0,0.793666667,,,,30:54.5
3EFVCAY5L39N7MBLQ3VG23QTLOAJ8V,2,Male,2,4,Caucasian,Something else,3,3,3,3,2,2,4,3,5,3,"I took the algorithm's score into consideration, and if I was off by more than 3 points or so (which only happened maybe once or twice) I adjusted my score up (or down) slightly to be closer to it.","It was useful to see how it thinks. At least, slightly, but I feel like it only helped me see its point of view, and didn't really effect my decision making too much.",0.666666667,0.794666667,2,0.814,1,0,1,29:54.5
3I33IC7ZWF21KE6SGG92ZDA79KAA2R,0,Female,5,8,Caucasian,Republican,4,3,2,3,0,0,0,0,0,0,"age, priors, crime committed/accused",,,0.778666667,3,0.825666667,,,,01:36.7
3A1PQ49WVHH95GWA3IJGBGN6UPC1HY,2,Female,2,8,Caucasian,Democrat,2,2,3,3,4,3,3,3,3,3,,,0.8,0.753666667,4,0.839333333,1,0,1,54:49.8
3AAJC4I4FGS2RIC8ZTVTFNNXLDZZJV,3,Female,2,8,Caucasian,Republican,3,3,2,3,3,4,3,4,3,3,I reviewed the algorithms risk scores for each case and considered if I agreed based on my own gut feelings towards the defendant. I didn't always agree with algorithm but I took their scoring into account. Thank you!,"When the algorithms explanation made sense to me, I took it more seriously and considered it when making my decision. If it seemed not too accurate or against my own judgment, I sent with what I honestly thought. ",0.766666667,0.746333333,5,0.802666667,2,1,1,33:21.6
31N2WW6R9RQL1NJJVW9ZWOQQCUH3FY,2,Female,2,8,African-American,Democrat,2,2,4,3,3,3,3,2,3,3,,,0.733333333,0.82,4,0.839333333,2,3,-1,30:10.0
33F859I566DAIEE25FC5HS0FHLZBHS,5,Male,1,8,Caucasian,Democrat,4,5,5,5,5,5,5,5,5,3,,,0.566666667,0.796,2,0.813,2,0,2,27:56.4
3RWE2M8QWHA18NX3AXAT2V1SBT00NS,0,Male,4,5,Caucasian,Democrat,2,3,2,3,0,0,0,0,0,0,"The amount of prior crimes and age.  If someone has one conviction and are over fifty, it seems remote they they would be arrested again.  Conversely, some one with three or four, but is in their early twenties seems like likely.  Also, young tend to be arrested more often.",,,0.712,0,0.787333333,,,,08:07.4
3ZDAD0O1T1D70Q8YA5LCK8UVBHVXT8,5,Female,5,5,Caucasian,Democrat,2,3,3,4,3,4,3,5,5,5,I first did my own assessment comparing each person's previous crime background. I looked at the why and why not they might commit another crime before trial. I then looked at the algorithm suggested score. Mostly I went with my own decisions,I explained that in the area above where I was asked to write,0.666666667,0.679333333,6,0.748666667,6,1,5,26:53.7
3AQF3RZ558IKY661EY7X3R2AN3E6F3,4,Female,6,8,Caucasian,Democrat,1,2,4,4,3,5,3,3,3,1,first made own decision based on req. reviewed algorithm and used best judgement,assuming algorithm knew more than I did based on programming dataset of statistic,0.733333333,0.733,4,0.807333333,2,1,1,46:11.3
34Q075JO1XDYUGQE5ACV5OOP9IR01X,3,Male,1,5,African-American,Democrat,4,3,3,2,1,4,2,4,5,2,,,0.766666667,0.608333333,12,0.757333333,5,1,4,11:34.4
392CY0QWG1RQTA4DWIK39QVO7304I5,4,Female,3,8,Caucasian,Republican,4,3,5,5,3,4,4,3,4,4,,,0.7,0.765666667,6,0.794666667,1,0,1,59:27.1
3WZ36BJEV3G0NN5X59TUVB33RWOBTT,2,Female,2,8,Caucasian,Democrat,3,4,4,4,4,3,3,3,3,3,,,0.6,0.790333333,2,0.811666667,3,0,3,31:29.6
3Q5ZZ9ZEVOFF0NW011RM1T7O4XU58V,3,Male,3,8,Caucasian,Republican,3,2,3,4,2,1,3,2,4,1,I actually tried to decide me score without looking at the algorithm first.  A few times I adjusted just a bit if mine was much different.,,0.766666667,0.781666667,2,0.816666667,0,2,-2,40:28.1
32RIADZISS4FNO791UEHDS1BG3DS40,5,Female,5,4,Caucasian,Republican,3,3,4,3,3,4,3,2,3,4,Some were low for the offense and times committed so I thought it should be more.,I had to adjust my numbers higher or lower for the offense.,0.7,0.652333333,9,0.799666667,3,1,2,35:17.8
34S6N1K2ZVJMVN0EWS1ZVVWKSP7HLY,2,Male,2,8,Caucasian,Democrat,3,4,4,4,3,3,3,3,2,5,,,0.866666667,0.764,8,0.771333333,2,1,1,10:02.2
3U5JL4WY5K9NJ5T8V4K4C0I3VF64X5,3,Female,2,8,Caucasian,Independent,3,3,3,3,2,2,2,1,3,2,I read the reasoning of the algorithm but most of the time I didn't think it was fair. ,I read them some made sense some didn't.. I tried to consider the more meaningful results while coming to my own conclusion.,0.733333333,0.750333333,2,0.796666667,3,0,3,11:37.3
3GGAI1SQEVYFKX7JACODKHETF94MCM,2,Female,2,9,Latino/hispanic,Republican,3,3,4,4,3,5,3,3,4,4,,,0.5,0.831,1,0.827333333,3,1,2,04:25.6
3LRLIPTPEQ9W1UAI5MF6Z9W1RA2KAA,3,Female,2,8,Two or more,Independent,3,3,4,4,2,1,3,4,5,3,"I made my decisions by past number of crimes and severity of crime, then I looked at the algorithm, but I didn't change my score because of the algorithm.",That explanation was a costly waste of time. I didn't to know what would have happened if it was different. I'm judging on what has already happened. ,0.766666667,0.758666667,4,0.802333333,3,1,2,16:10.3
3MYYFCXHJ37CXJYI6UK0OEI8RN7G4H,0,Female,4,8,Caucasian,Democrat,5,4,5,5,0,0,0,0,0,0,,,,0.758666667,4,0.817,,,,02:16.1
36NEMU28XFDOYVDOR3OEWBLW8YTWMV,3,Female,5,9,Caucasian,Democrat,3,3,4,3,3,3,3,3,3,2,,,0.8,0.642,19,0.804666667,4,2,2,18:54.6
3U4J9857OEBDPP8QS6QTQFBL38HB7K,3,Male,5,8,Native American,Democrat,5,5,5,1,5,4,5,5,3,4,,nothing,0.666666667,0.643666667,9,0.77,1,3,-2,51:33.9
3TESA3PJ31ASTJJAN1IRNDJ5A66MM5,5,Male,2,7,Caucasian,Independent,3,2,5,3,2,4,4,4,5,1,,,0.8,0.76,2,0.810666667,0,1,-1,43:16.8
3CPLWGV3MOZJ4HLGATTMV62LER7N9S,0,Female,3,5,Two or more,Something else,3,4,4,5,0,0,0,0,0,0,,,,0.681666667,3,0.770333333,,,,15:40.0
3HFNH7HEMHEJMOLG4RRDRHJDOB9GQC,3,Female,6,8,Caucasian,Republican,2,2,3,3,2,2,3,3,2,1,I made my own decision and then evaluated the algorithm,not at all,0.7,0.768333333,4,0.744,3,1,2,43:44.3
3J2UYBXQQLCT12RBBGITUOQYNBJ062,1,Male,3,6,Asian,Something else,4,2,4,5,2,3,4,4,5,3,,,0.633333333,0.769,9,0.806333333,3,0,3,45:21.0
317HQ483I7SCFIEJENZZ8Z1OXVFNIO,1,Female,3,8,Caucasian,Democrat,2,3,3,3,4,3,2,2,3,3,"I used it as guidance but I thought it was too severe on some people and too lenient on others, so I would compensate for that.",,0.8,0.782333333,4,0.806333333,3,1,2,07:55.7
3Y9N9SS8LYBO335N4QE98ON509K3DQ,1,Male,3,7,African-American,Democrat,5,5,5,5,5,4,5,5,3,5,,,0.7,0.657333333,13,0.779,3,1,2,53:11.9
3SB4CE2TJVV2LU9P45UVP343NSAAX0,5,Female,4,8,Caucasian,Democrat,3,2,3,3,3,2,3,3,4,3,"I looked at what the algorithm said after I had read the description. IF I thought it was way out of where the risk should be, I just went with my gut instinct. Otherwise, I think my assessments were fairly similar to the AI",They didn't really figure into my assessment too much. I looked a lot at age and number of crimes and convictions prior. I think I just needed to read the whole picture to make a good judgement,0.766666667,0.759333333,1,0.806333333,1,0,1,17:54.8
324G5B4FB38C525GUQT46YF2CBH705,3,Male,1,8,Latino/hispanic,Independent,3,3,4,3,2,2,4,1,4,5,"I didn't really incorporated the algorithm's scores. I just read the information provided and once I understood the information, I decided what score the defendant deserved. I used the algorithm just to compare my decisions.",I did not incorporate that information in my decision at all.,0.666666667,0.737333333,3,0.762333333,1,0,1,00:15.3
3018Q3ZVOIQIOYNDV6O30LIFMAFRA9,4,Male,3,8,Caucasian,Democrat,2,2,3,3,3,3,3,4,4,3,,,0.8,0.850333333,3,0.849666667,3,0,3,44:52.3
3R08VXYT7CV5DS61NXMPDTO6CJW7WC,0,Male,3,8,African-American,Democrat,4,4,4,4,0,0,0,0,0,0,,,,0.783666667,6,0.794,,,,06:29.6
3E13VNJ1NNV91B7U9011BSOLU2R1IR,2,Male,2,8,Native American,Democrat,1,4,4,3,2,4,2,3,4,4,based on the scale given i compared and analysed to my knowledge level.,very useful,0.733333333,0.715333333,11,0.777,2,3,-1,56:21.2
3XUHV3NRVKY8TYXT45LSE60N6PO5HV,0,Male,3,8,Caucasian,Independent,4,3,3,4,0,0,0,0,0,0,,,,0.763333333,3,0.8,,,,01:00.1
3L2IS5HSFAIHO99J84ODR2PZRQ2NUW,1,Male,2,8,African-American,Democrat,3,3,4,4,2,3,3,4,4,5,,,0.733333333,0.752333333,6,0.767333333,6,0,6,04:15.3
3GS6S824SQXUGDYO343E9QAWDO3WNV,3,Male,2,4,Caucasian,Republican,4,3,4,3,3,5,5,4,4,3,"I would say I incorporated the algorithms score into mine by, originally making my decision and then I would like at the algorithms score and it would be almost the same number or really close so it was just confirming what I already thought to be true.",I think you can tell based on someone's past criminal history whether they would be likely to commit another crime or not so I think having that information is extremely useful it's pretty much what you base your entire decision on.,0.766666667,0.818,2,0.854,2,0,2,10:29.5
3L4PIM1GQTGJKGLGBC2J370MOXHRY9,0,Male,2,8,Caucasian,Democrat,5,4,5,4,0,0,0,0,0,0,,,,0.772333333,5,0.785666667,,,,06:11.3
37XITHEISW96HDKBFKKU6G83LNKRCE,1,Male,5,9,Caucasian,Democrat,3,2,3,3,5,5,4,3,4,5,I used the AI's score as a starting point then looked closely at the provided data to decide if I wanted to go against it.,,0.8,0.857,3,0.858666667,3,0,3,49:57.4
3U088ZLJVKTRVH6H2Y1GYEEJ54T0W7,5,Male,3,10,Caucasian,Democrat,2,4,5,3,1,1,1,2,5,3,"I didn’t. As an attorney, I’m well aware that every citizen, even if they’ve never been arrested, commits crimes on a regular basis. This is because of how extensive our regulatory system is. I understand this probably isn’t what you want to test;  ","As before, this isn’t what you wanted to test, but truth is everyone in America is a 10 on any given day. ",0.666666667,0.6,12,0.796,4,0,4,25:28.1
3QHK8ZVMIMIC4AXSW0R39KTMXWALBY,0,Female,2,8,Caucasian,Democrat,3,3,4,3,0,0,0,0,0,0,,,,0.595666667,10,0.780333333,,,,50:26.7
36U2A8VAG1ZXXC8LLSTM2VE8UDZKY2,5,Male,6,6,African-American,Democrat,2,2,2,3,4,1,2,2,2,2,If a person had priors I assume that bad habits are being formed and they are likely be a repeat offender. The algorithm seems to track in a mathematical fashion as well.,I used my own gut instincts. ,0.833333333,0.790666667,2,0.81,1,0,1,52:01.3
3NPI0JQDAO52RH67OEBVQV8S8UTPT6,2,Male,3,8,Asian,Democrat,2,2,2,3,2,2,2,2,2,1,"I usually looked at the score and acted a little bit more leniently, depending on the crime.",I thought about it for a bit and saw if the explanations were as relevant based on the original information.,0.766666667,0.749,1,0.812666667,2,0,2,21:52.0
3WMINLGALB3EIWYUD9Y8BQJTLJWCAR,1,Male,3,8,Caucasian,Republican,3,2,3,4,3,4,3,4,3,2,,,0.766666667,0.715666667,3,0.790666667,2,1,1,14:28.5
3G0WWMR1UVKPWG22RV48H1SAPWMQN3,5,Male,2,4,Caucasian,Independent,3,3,4,3,2,4,3,4,3,3,,,0.833333333,0.802666667,3,0.782,3,0,3,22:05.9
37XITHEISW96HDKBFKKU6G83MEBRCO,5,Female,5,7,Caucasian,Democrat,1,3,3,4,3,3,3,3,4,1,Used it as a guide. ,I really just used my common sense since I've been in the legal system before.,0.733333333,0.758666667,3,0.801333333,4,0,4,48:13.4
3XXU1SWE8MVUO43E1T5OGPHSDK90AD,4,Female,2,8,Caucasian,Democrat,4,3,4,5,4,4,4,3,3,3,,,0.8,0.598,17,0.782666667,4,2,2,50:43.6
3IXQG4FA2TYH38WJ73OD4B2RXPXB95,2,Female,3,7,Caucasian,Republican,2,3,4,3,3,4,3,3,2,4,I judged its answers with the severity of the crimes and disagreed if I thought they were to high ,,0.766666667,0.768333333,3,0.800333333,4,1,3,53:13.0
3UNH76FOCS5SN08O6462H86CIWJYM1,2,Female,5,4,Caucasian,Republican,3,3,4,3,4,5,4,5,1,3,,,0.8,0.724,7,0.776,4,1,3,49:12.4
3FIJLY1B6U4S8CO6TU669RTRHIOPFV,1,Male,3,5,Caucasian,Democrat,4,4,3,3,4,1,3,3,2,4,I choose my score then compared it to the algorithm's and made my descision from there. ,,0.733333333,0.731666667,3,0.759,4,0,4,45:27.9
33M4IA01QG1UKBV66GGHKTTDM58XRM,1,Female,2,9,Caucasian,Democrat,4,3,5,3,3,5,4,3,5,5,na,,0.666666667,0.790333333,7,0.789666667,3,0,3,41:52.9
36V4Q8R5ZK0JEYH2FUP84M3AJFMMQQ,1,Male,2,8,Caucasian,Democrat,3,4,3,5,3,5,4,3,4,3,,,0.733333333,0.740666667,6,0.786666667,1,1,0,58:16.7
31HQ4X3T3SABLWEU7MDYZ93M16GSLY,2,Female,5,7,Caucasian,Republican,3,3,4,3,3,4,3,3,4,2,I read the crime that was committed and compared it with the details of how the algorithm determined the chance of recommitting a crime for that person.,,0.6,0.768666667,2,0.754333333,4,1,3,32:44.5
3A0EX8ZRN8OW494RFFGT3SVI6Y6BYI,2,Male,4,5,Caucasian,Republican,2,3,3,3,3,4,3,3,3,3,I looked at the profile and if I thought the algorithm made sense then I would agree with it.  ,I did find that useful and most of the time the number the algorithm came up with was very close or the same as what I thought.,0.8,0.790333333,1,0.808,1,0,1,17:29.7
3SKEMFQBZ35II6H38OVS3IQ61VXK8J,5,Female,4,11,Asian,Democrat,2,3,3,3,4,2,2,3,2,3,"I tried not to let the algorithm sway my choices too much but in practice, I probably did use its scores to anchor my choice.   ","I tried to be consistent across individuals, factoring their criminal history, age and crimes type into my choice. I tried, whenever possible, to not penalize people based on race. So a Black defendant did not get a higher score than a White one, all else equal, whenever I could ascertain this clearly. ",0.7,0.802,4,0.788,6,0,6,49:24.5
3F6KKYWMNB1V77YXM9YOH2LB5YSDND,2,Female,3,8,Caucasian,Democrat,4,4,4,4,4,4,2,4,2,4,"Based on the convicts race, age factor and number of crime done by them.",Very helpful most 60 % of the decision influenced by the AI.,0.666666667,0.778666667,3,0.753666667,4,0,4,36:34.8
3DQQ64TANGLUJYA1JJG6DFFRC7TPWG,0,Female,4,5,Caucasian,Democrat,5,5,4,3,0,0,0,0,0,0,,,,0.802333333,3,0.821333333,,,,15:41.8
3OVHNO1VE61POWCGPX9ICPSKGT5ZDK,3,Female,5,8,Caucasian,Democrat,2,3,3,4,4,4,3,5,2,2,"I used the AI as I guide, but I would add or subtract from it depending upon the severity of the crime and the quantity of prior crimes..","If the person came close to the cutoff age that the AI said it would have been lower, then I usually did lower the prediction number to correspond.",0.633333333,0.872666667,3,0.818333333,3,2,1,16:46.7
3JAOYWH7VI4TGHIVYGD7IEYW9W7L9O,0,Male,4,8,Caucasian,Independent,3,3,4,3,0,0,0,0,0,0,,,,0.801,3,0.816333333,,,,06:38.6
36H9ULYP62UWM1L8YH1MCV7F8BTJFK,0,Female,5,9,Caucasian,Democrat,4,4,5,5,0,0,0,0,0,0,,,,0.563666667,16,0.796333333,,,,00:34.8
3VNXK88KKCIWCMUPCKFD5NWY1YAV9R,4,Male,5,7,Caucasian,Democrat,3,3,4,3,2,2,3,2,5,2,I usually came to my own conclusion before I looked at the algorithm's assessment so it's decision did not affect mine.,,0.833333333,0.718666667,6,0.762,6,1,5,52:21.9
3IKZ72A5B4GS5RCTDFTE52OWHP2NFK,0,Female,3,8,Caucasian,Democrat,4,3,4,4,0,0,0,0,0,0,,,,0.773,1,0.856333333,,,,13:57.0
3Z3ZLGNNSIUISC9S9CKT8NU4JW4Q3T,2,Male,2,8,Native American,Independent,4,3,4,4,4,4,4,4,3,4,,,0.766666667,0.715666667,7,0.757,2,2,0,50:17.8
3XIQGXAUMC8K2SBRX2IBFC2DLTF7XY,1,Male,5,8,African-American,Democrat,4,3,4,4,3,3,4,3,3,3,,,0.533333333,0.704,6,0.788333333,0,0,0,12:10.0
338JKRMM26Z5Z49AZ1C9MHG9YXGAHL,0,Female,2,8,Caucasian,Democrat,1,2,2,2,0,0,0,0,0,0,,,,0.751,6,0.728,,,,36:13.9
3RUIQRXJBBOOHJJ4NDGXNNPR9WJLLS,0,Female,4,8,Caucasian,Democrat,3,4,3,3,0,0,0,0,0,0,"Number of crimes previously committed, age",,,0.760666667,1,0.807,,,,48:16.1
38JBBYETQOAED52R0ZUCOBXWELDE4B,1,Male,4,9,African-American,Republican,3,4,5,5,3,5,3,4,5,3,,,0.766666667,0.729666667,5,0.794,4,0,4,22:10.1
3SLE99ER0NDW9ZEWB1ICHZ4KCJ3BZK,1,Male,2,8,African-American,Democrat,2,3,2,3,3,2,3,3,3,3,,,0.566666667,0.784333333,5,0.843,1,0,1,49:32.7
3X65QVEQI0NVEFPYA0NYK4Z4FHALC5,0,Male,2,5,African-American,Democrat,3,2,2,2,0,0,0,0,0,0,I thought that maybe younger people were more likely to do crimes again and I also tried to factor in the amount of charges as pretty important as well.,,,0.736666667,5,0.785333333,,,,37:18.3
3E1QT0TDFP9RCBRF8LAGQ2BT9P58IP,3,Female,3,8,African-American,Democrat,4,5,3,4,2,4,3,4,3,3,sometimes it is hard to answer the scores. my decision is make more knowledge in algorithm's risk,we have explanation to described the the shedding light with more materials ,0.8,0.748333333,10,0.798,2,0,2,10:07.3
3S3AMIZX3U5CG316XJPA1RRZ74KCDL,3,Female,6,8,Caucasian,Independent,2,2,3,3,3,3,3,3,3,2,I tried to match the defendent to the scores it gave,I weighed it against my defendant,0.666666667,0.770333333,5,0.789666667,5,2,3,06:20.8
3VSOLARPKB9C0DS6SA97MS4FA6093B,3,Female,3,8,Caucasian,Democrat,4,4,4,5,4,4,4,4,3,2,Very helpful and AI perception is  accurate in many factors.,"Based on the age factor, race and number of crime in past.",0.766666667,0.713,2,0.750333333,3,0,3,40:11.7
3GLB5JMZFXVPXFHBZ5LTRICE400GDU,0,Female,3,5,Caucasian,Democrat,3,3,1,3,0,0,0,0,0,0,Age and prior convictions ,,,0.768666667,2,0.804333333,,,,40:44.9
30X31N5D63QUPDNQAVO8QVNB7U3ASK,2,Female,3,9,Caucasian,Republican,4,4,4,5,4,4,3,3,4,3,"Taking into account the presented characteristics of each defendant, in addition to the estimated prediction of the algorithm",As predicted by the algorithm based on patterns observed between profiles of previous defendants and whether they committed crimes before their trial.,0.633333333,0.726666667,4,0.745,3,1,2,03:54.7
3OONKJ5DKCJKAV0P9S7V11XGTAJOB5,4,Male,2,8,Latino/hispanic,Democrat,3,4,4,4,4,3,4,3,4,4,,,0.733333333,0.737666667,2,0.806333333,1,0,1,32:30.3
3IQ1VMJRYTKCKYRR1POH90ILFYUA99,1,Female,5,5,Caucasian,Republican,2,3,3,3,3,2,2,3,4,1,"I didnt. I came to my own conclusions, and maybe agreed with the algorithm some.",,0.833333333,0.783,4,0.804333333,1,2,-1,16:52.8
33JKGHPFYCUYB14AZ2XR0S85EQENMR,0,Male,2,5,Caucasian,Republican,2,3,4,4,0,0,0,0,0,0,,,,0.621333333,1,0.750666667,,,,13:59.0
3Y5140Z9DXGCI3QWU2CRCO6JYZ3IPH,3,Female,4,9,Caucasian,Democrat,3,3,2,2,3,2,2,3,2,3,I used the algorithm risk score but then went up or down if I thought it was wrong or off.,The explanations didn't seem reasonable to me. ,0.7,0.824333333,5,0.8,1,1,0,14:26.6
31JLPPHS2UUF70WCUZSPJIZ45C6O32,3,Male,2,8,Caucasian,Democrat,4,4,5,5,3,5,3,3,4,4,,,0.766666667,0.743,2,0.826333333,3,1,2,50:11.1
3IAS3U3I0FG63OBKMU9YUOUDS0LB2A,4,Female,3,8,Caucasian,Independent,4,2,1,3,2,4,1,2,3,3,I initially used it to get an idea of what the pattern of the algorithm was--but then halfway though I noticed I just started created my own algorithm (would have had it down in about 60 more tries).,"My data is messed up because I switched my tactic--but I started to omit race, gender, age and just looked at current charge (Felony vs Misdemeanor) and priors.",0.7,0.760333333,3,0.761,5,0,5,12:09.6
3K9FOBBF2HJE5JMPZQWC0FTGFQ0NLC,5,Female,3,5,Caucasian,Democrat,3,3,4,3,4,4,4,3,3,3,I compared my estimate with the algorithm and adjusted my answer accordingly ,The explanations helped me consider the defendant in a more detailed way,0.6,0.821,0,0.800666667,2,0,2,44:45.1
3ZAK8W07I4EE3DHC7YMFGQTMJZYU03,2,Male,2,5,Caucasian,Something else,2,4,3,3,3,4,3,2,4,2,,,0.766666667,0.821333333,1,0.795,0,0,0,12:55.3
3A4NIXBJ76Z8N11PNPHCN04G9VELMN,0,Male,3,8,Caucasian,Democrat,3,3,4,4,0,0,0,0,0,0,type of crime and age as well as past history of crimes,,,0.647333333,4,0.788,,,,58:34.2
